woman;age;education;work;metropolitan_area;non_white;urban;work_permit;poverty
1;59;5;8;3;2;2;3;1
1;21;5;8;3;1;2;1;1
1;59;2;9;3;2;2;2;1
2;58;5;8;3;2;2;3;1
2;56;2;9;3;2;2;2;1
1;55;2;5;3;2;2;2;1
1;27;7;8;3;2;2;3;1
1;47;2;2;3;2;2;2;1
2;33;7;7;3;2;2;2;1
1;55;5;3;3;2;2;3;1
1;33;3;4;3;2;2;2;1
1;42;5;10;3;2;2;1;1
2;53;4;11;3;2;2;2;1
2;53;7;9;2;2;2;3;1
2;35;7;4;2;2;2;1;1
1;58;2;8;2;2;2;3;1
1;27;5;4;2;2;2;2;1
2;53;7;9;2;1;2;1;1
2;21;6;8;2;1;2;1;1
1;19;2;1;3;1;2;3;1
1;53;2;3;3;2;2;3;2
1;45;2;2;3;2;2;3;1
1;33;2;7;3;1;2;2;2
1;45;3;5;3;1;2;2;2
2;40;5;8;3;2;2;3;1
1;40;5;9;3;2;2;2;1
2;34;5;2;2;1;2;2;1
1;48;2;2;2;2;2;2;2
1;63;5;2;2;1;2;3;1
1;35;7;8;2;1;2;3;1
2;30;7;8;2;1;2;3;1
2;38;2;11;2;2;2;1;2
1;41;2;4;2;2;2;3;2
1;50;2;3;2;2;2;3;1
2;44;5;9;2;2;2;3;1
2;42;7;8;3;2;2;1;1
2;35;5;10;3;2;2;3;1
1;45;5;4;3;2;2;2;1
1;47;7;8;3;1;2;3;1
2;38;7;9;3;1;2;2;1
1;24;7;9;3;1;2;3;1
1;54;7;7;3;1;2;3;1
1;45;5;8;3;1;2;3;1
2;45;7;8;3;2;2;1;1
1;32;2;4;3;2;2;3;1
2;47;5;10;3;2;2;2;1
1;40;3;4;2;1;2;2;1
1;36;2;1;2;1;2;1;2
2;36;2;11;2;2;2;1;2
1;19;2;3;2;2;2;1;2
1;37;2;7;2;2;1;2;1
2;30;7;9;2;2;1;3;1
2;38;7;9;2;1;2;2;1
1;21;5;4;2;2;2;2;2
2;26;5;9;2;2;2;2;1
2;26;4;6;2;1;2;2;1
1;55;2;5;2;1;2;3;1
1;32;7;4;2;1;2;3;1
1;38;3;10;2;2;2;3;1
2;33;5;4;2;2;2;3;1
1;53;3;9;2;2;2;3;1
2;48;7;9;2;1;2;3;1
1;45;2;1;2;2;2;2;1
2;22;5;4;2;2;2;1;1
1;22;4;4;2;2;2;2;1
2;62;5;9;3;2;2;3;1
2;32;5;4;3;2;2;2;1
2;37;5;8;3;2;2;3;1
1;45;5;3;3;2;2;3;1
1;57;2;4;3;1;2;3;1
1;33;5;4;3;2;2;2;1
1;48;3;5;3;2;2;3;1
1;55;5;8;3;2;2;3;1
2;51;5;4;3;2;2;3;1
1;28;6;7;3;1;2;2;1
1;45;5;10;3;2;2;3;1
2;62;7;9;3;2;2;3;1
2;37;7;9;2;2;2;2;1
1;42;5;4;2;2;2;2;1
2;60;5;9;2;2;2;3;1
1;45;3;4;2;2;2;2;2
1;17;2;4;2;2;2;2;2
1;25;5;6;2;2;2;1;1
1;21;5;1;2;2;2;2;1
1;50;2;9;2;1;2;1;1
1;33;6;5;2;2;2;2;1
1;28;6;8;2;2;2;2;1
1;59;2;4;2;2;2;2;1
1;36;7;8;3;1;2;3;1
2;43;7;9;3;1;2;2;1
1;49;7;8;3;2;2;3;1
2;53;5;4;3;2;2;3;1
2;20;5;11;3;2;2;1;1
1;15;2;4;3;2;2;1;1
2;56;2;4;3;2;2;3;1
1;65;2;4;3;2;2;3;1
1;26;5;4;3;1;2;3;1
1;47;5;8;3;2;2;3;1
2;28;5;10;3;2;2;3;1
1;23;5;9;3;2;2;1;1
